Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Нагорный;65;4;0.12;10;0.1;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Некрасовка;66;4;0.14;15;0.18;0,00;0.93;0.09;0,00;НЕТ;0,00;0.93;0.07;0,00;0,00;1,00
Нижегородский;67;4;0.16;10;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Ново-Переделкино;68;4;0.13;10;0.09;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Новогиреево;69;4;0.13;12;0.11;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Новокосино;70;4;0.15;15;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Обручевский;71;4;0.17;10;0.04;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Орехово-Борисово Северное;72;4;0.13;15;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Орехово-Борисово Южное;73;4;0.13;15;0.04;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Останкинский;74;4;0.2;12;0.09;0.19;0,00;0.58;0.5;НЕТ;0.33;0,00;0.58;0.08;0,00;0.67
Отрадное;75;4;0.13;18;0.05;0.03;0.83;0,00;0.25;НЕТ;0.06;0.83;0,00;0.06;0,00;0.94
Очаково-Матвеевское;76;4;0.12;10;0.13;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Перово;77;4;0.13;15;0.1;0,00;0.93;0.08;0,00;НЕТ;0,00;0.87;0.07;0,00;0,00;1,00
Печатники;78;4;0.17;15;0.2;0.14;0.73;0.18;0,00;НЕТ;0.13;0.73;0.13;0,00;0,00;0.87
Покровское-Стрешнево;79;4;0.16;12;0.13;0,00;0.92;0,00;0.1;НЕТ;0,00;0.92;0,00;0.08;0,00;1,00
Преображенское;80;4;0.16;10;0.08;0,00;0.6;0,00;0.8;НЕТ;0,00;0.6;0,00;0.4;0,00;1,00
Пресненский;81;4;0.16;15;0.18;0.2;0.36;0,00;1,00;НЕТ;0.6;0.33;0,00;0.07;0,00;0.4
